Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00003084:22G:lst-2, R160.7:CSR	lst-2, R160.7	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00003161:22G:mdf-2, Y69A2AR.30:CSR	mdf-2, Y69A2AR.30	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00003411:22G:F14F4.3, mrp-5:WAGO	F14F4.3, mrp-5	1	6	15	0	C1	1	0	Control
22G	Gene:WBGene00003517:22G:F31F6.6, nac-1:WAGO	F31F6.6, nac-1	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00003517:22G:F31F6.6, nac-1:WAGO	F31F6.6, nac-1	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00003517:22G:F31F6.6, nac-1:WAGO	F31F6.6, nac-1	2	16	3	1	C1	1	0	Control
22G	Gene:WBGene00003520:22G:F45G2.1, nas-1:WAGO	F45G2.1, nas-1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00003593:22G:F42A10.2, nfm-1:WAGO	F42A10.2, nfm-1	1	8	13	0	C1	1	0	Control
22G	Gene:WBGene00003599:22G:nhl-3, W04H10.3:CSR	nhl-3, W04H10.3	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00003602:22G:H01A20.1, nhr-3:WAGO	H01A20.1, nhr-3	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00003612:22G:nhr-13, Y5H2B.2:CSR	nhr-13, Y5H2B.2	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00003627:22G:F58G6.5, nhr-34:CSR	F58G6.5, nhr-34	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00003630:22G:nhr-40, T03G6.2:WAGO	nhr-40, T03G6.2	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00003630:22G:nhr-40, T03G6.2:WAGO	nhr-40, T03G6.2	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00003638:22G:nhr-48, ZK662.3:WAGO	nhr-48, ZK662.3	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00003654:22G:C45E1.1, nhr-64:WAGO	C45E1.1, nhr-64	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00003654:22G:C45E1.1, nhr-64:WAGO	C45E1.1, nhr-64	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00003674:22G:nhr-84, T06C12.7:WAGO	nhr-84, T06C12.7	2	2	17	1	C1	1	0	Control
22G	Gene:WBGene00003690:22G:C28D4.1, nhr-100:CSR	C28D4.1, nhr-100	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00003690:22G:C28D4.1, nhr-100:CSR	C28D4.1, nhr-100	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00003750:22G:M01D7.5, nlp-12:WAGO	M01D7.5, nlp-12	2	18	1	1	C1	1	0	Control
