C1										
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
L1										
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	
0,641528493	1,206842613	12,6741747	8,016958404	33,17428922	9,616644012	17,35822519	10,03105432	3,712878102	67,97974568	
5,77375644	10,86158352	6,337087348	6,012718803	25,08299917	13,46330162	21,69778149	8,359211931	4,641097628	36,60447844	
7,056813427	8,447898291	7,604504817	11,02331781	33,98341823	26,92660323	60,75378817	15,04658148	50,12385438	52,29211206	
0,641528493	1,206842613	1,26741747	0	29,1286442	1,923328802	0	3,343684772	4,641097628	15,68763362	
0	6,034213065	0	16,03391681	12,94606409	2,884993203	8,679112596	4,179605965	8,35397573	13,07302801	
2,566113973	4,827370452	5,069669878	7,014838604	8,091290054	0	4,339556298	0,835921193	4,641097628	57,52132327	
0	2,413685226	1,26741747	6,012718803	31,55603121	6,731650808	4,339556298	4,179605965	4,641097628	54,90671766	
2,566113973	14,48211136	13,94159216	14,02967721	12,94606409	6,731650808	17,35822519	2,507763579	8,35397573	23,53145043	
1,92458548	6,034213065	7,604504817	14,02967721	27,51038619	9,616644012	8,679112596	3,343684772	6,497536679	23,53145043	
8,339870413	39,82580623	22,81351445	72,15262564	84,95854557	54,81487087	52,07467558	41,79605965	39,9134396	78,43816809	
13,47209836	24,13685226	24,08093192	28,05935442	43,69296629	30,77326084	47,73511928	16,71842386	15,77973193	190,866209	
10,90598439	19,30948181	19,01126204	30,06359402	108,4232867	24,04161003	56,41423187	9,195133124	11,13863431	130,7302801	
25,66113973	48,27370452	35,48768915	55,11658903	32,36516022	80,7798097	73,77245707	44,30382323	38,98522007	146,4179138	
2,566113973	61,54897326	30,41801927	50,10599003	199,0457353	56,73819967	60,75378817	23,40579341	20,42082956	311,1380668	
22,45349727	36,20527839	35,48768915	33,06995342	218,4648315	64,43151488	104,1493512	28,42132056	38,05700055	167,3347586	
46,83158001	127,925317	68,44054335	132,2798137	327,6972472	144,2496602	186,6009208	45,97566562	103,9605869	535,9941486	
41,69935207	77,23792723	20,27867951	72,15262564	169,9170911	72,12483009	173,5822519	24,2417146	43,6263177	243,1583211	
71,85119125	194,3016607	119,1372421	140,2967721	245,9752177	154,8279686	299,4293846	74,39698618	139,2329288	517,6919094	
32,71795316	111,0295204	76,04504817	96,20350085	267,0125718	112,5147349	99,80979485	46,81158681	103,9605869	355,586362	
